Date,Activity
09 16 2024  01:22,Sleep
09 16 2024  08:22,Awake
09 17 2024  02:22,Sleep
09 17 2024  08:22,Awake
09 18 2024  01:22,Sleep
09 18 2024  04:22,Awake
09 19 2024  01:22,Sleep
09 19 2024  07:22,Awake
09 20 2024  01:22,Sleep
09 20 2024  05:22,Awake
09 21 2024  01:22,Sleep
09 21 2024  06:22,Awake
09 22 2024  01:22,Sleep
09 22 2024  03:22,Awake
09 23 2024  01:22,Sleep
09 23 2024  02:22,Awake
09 29 2024  02:22,Sleep
09 29 2024  07:22,Awake
09 30 2024  02:22,Sleep
09 30 2024  06:22,Awake
